['S00110072018', 'L01303012019', 'D01303012019', 'K02414042020', 'M02319032020', 'P03612022020', '10072018']
['S03207122020', 'L04213092021', 'D04313092021', 'K05104022021', 'M05325092021', 'P05212082021', '06122020']
['S03324122020', 'L04316112021', 'D04416112021', 'K05219022021', 'M05423042021', 'P05316112021', '06122020']
['S03410052020', 'L04419112021', 'D04609102021', 'K05316122021', 'M05513022021', 'P05403012021', '07122020']
['S03529012020', 'L04522122021', 'D04728122021', 'K05425012021', 'M05607082021', 'P05517112021', '24122020']
['S03602012021', 'L04601012022', 'D04801012022', 'K05501012022', 'M05701012022', 'P05601012022', '02012021']
['S03704022021', 'L04729012022', 'D04929012022', 'K05629012022', 'M05829012022', 'P05729012022', '04022021']
['S03810042021', 'L04819022022', 'D05019022022', 'K05719022022', 'M05919022022', 'P05819022022', '10042021']
['S03919042021', 'L04916032022', 'D05116032022', 'K05816032022', 'M06016032022', 'P05916032022', '19042021']
['S04029042021', 'L05025032022', 'D05225032022', 'K05925032022', 'M06125032022', 'P06128032022', '29042021']
['S04118052021', 'L05128032022', 'D05328032022', 'K06028032022', 'M06228032022', 'P06207072022', '18052021']
['S04416112021', 'L05207072022', 'D05407072022', 'K06211072022', 'M06307072022', 'P06311072022', '03072021']
['S04519112021', 'L05311072022', 'D05511072022', 'K06408122022', 'M06411072022', 'P06419082022', '13092021']
['S04630112021', 'L05419082022', 'D05827112022', 'K05510082022', 'M06519082022', 'P06508122022', '16112021']
['S04707112021', 'L05620112022', 'D05916112022', 'K05604122022', 'M05710062022', 'P05605122022', '19112021']
['S04929012022', 'L05729012022', 'D06002122022', 'K05727062022', 'M05802122022', 'P05715102022', '01012022']
['S05019022022', 'L05807092022', 'D06110102022', 'K05823032022', 'M05931012022', 'P05814012022', '29012022']
['S05116032022', 'L05925092022', 'D06230112022', 'K05909112022', 'M06010092022', 'P05921122022', '19022022']
['S05225032022', 'L06015092022', 'D06311102022', 'K06007022022', 'M06119072022', 'P06004022022', '16032022']
['S05328032022', 'L06101022022', 'D06411012022', 'K06101072022', 'M06205052022', 'P06101082022', '25032022']
['S05407072022', 'L06202112022', 'D06520072022', 'K06222082022', 'M06307052022', 'P06209092022', '28032022']
['S05511072022', 'L06307112022', 'D06609032022', 'K06318072022', 'M06428072022', 'P06323092022', '07072022']
['S05619082022', 'L06412012022', 'D06702022022', 'K06420092022', 'M06517032022', 'P06418052022', '11072022']
['S05708122022', 'L06502062022', 'D06806062022', 'K06527112022', 'M06607052022', 'P06501052022', '19082022']
['S05829122022', 'L06603032022', 'D06915062022', 'K06623012022', 'M06725042022', 'P06605062022', '08122022']
['S00219042018', 'L01324032019', 'D01201022019', 'K02529022020', 'M02429022020', 'P03505012020', '16042018']
['S00330042018', 'L01526052019', 'D01324032019', 'K02608032020', 'M02508032020', 'P03608102020', '19042018']
['S00404062018', 'L01617062019', 'D01526052019', 'K02709042020', 'M02609042020', 'P03729082020', '30042018']
['S00530072018', 'L01729062019', 'D01617062019', 'K03015062020', 'M02721042020', 'P03809032020', '04062018']
['S00718092018', 'L01827072019', 'D01729062019', 'K03103092020', 'M02831052020', 'P03918122020', '30072018']
['S00820102018', 'L01918082019', 'D01827072019', 'K03210092020', 'M02915062020', 'P04018062020', '30082018']
['S00929102018', 'L02030102019', 'D01918082019', 'K03326102020', 'M03003092020', 'P04119042020', '18092018']
['S01025122018', 'L02128122019', 'D02030102019', 'K03427112020', 'M03226102020', 'P04218092020', '20102018']
['S01127112018', 'L02209122019', 'D02128122019', 'K03510102020', 'M03327112020', 'P04314112020', '29102018']
['S01204112018', 'L02316122019', 'D02214122019', 'K03630092020', 'M03404052020', 'P04414072020', '25122018']
['S01424032019', 'L02429022020', 'D02329022020', 'K03701012021', 'M03501012021', 'P04501012021', '01022019']
['S01505042019', 'L02508032020', 'D02408032020', 'K04031052021', 'M03706052021', 'P04706052021', '24032019']
['S01626052019', 'L02609042020', 'D02621042020', 'K04109072021', 'M03831052021', 'P04831052021', '05042019']
['S01717062019', 'L02721042020', 'D02731052020', 'K04211072021', 'M04011072021', 'P04909072021', '26052019']
['S01829062019', 'L02915062020', 'D02815062020', 'K04324072021', 'M04124072021', 'P05011072021', '17062019']
['S01927072019', 'L03003092020', 'D03010092020', 'K04409092021', 'M04209092021', 'P05124072021', '29062019']
['S02018082019', 'L03110092020', 'D03126102020', 'K04502102021', 'M04302102021', 'P05209092021', '27072019']
['S02130102019', 'L03226102020', 'D03227112020', 'K04629122021', 'M04429122021', 'P05302102021', '18082019']
['S02228122019', 'L03327112020', 'D03327112020', 'K04731102021', 'M04529102021', 'P05429122021', '30102019']
['S02311122019', 'L03413082020', 'D03424122020', 'K04823092021', 'M04615102021', 'P04524112021', '28122019']
['S02429022020', 'L03501012021', 'D03501012021', 'K04916062021', 'M04704062021', 'P04622032021', '29022020']
['S02508032020', 'L03601042021', 'D03601042021', 'K05024072021', 'M04828112021', 'P04722102021', '08032020']
['S02721042020', 'L03706052021', 'D03706052021', 'K05111122021', 'M04909062021', 'P04821042021', '09042020']
['S02831052020', 'L03831052021', 'D03831052021', 'K05218122021', 'M05027092021', 'P04930052021', '21042020']
['S03003092020', 'L03909072021', 'D04011072021', 'K05325022021', 'M05112052021', 'P05009042021', '31052020']
['S03110092020', 'L04011072021', 'D04209092021', 'K05408052021', 'M05202072021', 'P05126012021', '15062020']
['S03226102020', 'L04124072021', 'D04302102021', 'K05530082021', 'M05303012021', 'P05203022021', '03092020']
['S03327112020', 'L04209092021', 'D04429122021', 'K05622072021', 'M05428082021', 'P05313092021', '10092020']
['S03416102020', 'L04429122021', 'D04527092021', 'K05725102021', 'M05508062021', 'P05406072021', '26102020']
['S03530072020', 'L04528072021', 'D04625112021', 'K05814122021', 'M05626112021', 'P05529102021', '27112020']
['S03701042021', 'L04617022022', 'D04717022022', 'K05917022022', 'M05717022022', 'P05617022022', '01012021']
['S03806052021', 'L04709032022', 'D04809032022', 'K06009032022', 'M05809032022', 'P05709032022', '01042021']
['S04009072021', 'L04831032022', 'D04931032022', 'K06131032022', 'M05931032022', 'P05831032022', '06052021']
['S04111072021', 'L04903072022', 'D05003072022', 'K06203072022', 'M06105082022', 'P06005082022', '31052021']
['S04224072021', 'L05005082022', 'D05105082022', 'K06305082022', 'M06219082022', 'P06119082022', '09072021']
['S04309092021', 'L05213102022', 'D05219082022', 'K06419082022', 'M06313102022', 'P06213102022', '11072021']
['S04402102021', 'L05316102022', 'D05313102022', 'K06616102022', 'M06416102022', 'P06316102022', '24072021']
['S04529122021', 'L05520122022', 'D05508112022', 'K06820122022', 'M06508112022', 'P06520122022', '09092021']
['S04609122021', 'L05610032022', 'D05620122022', 'K05917102022', 'M06620122022', 'P05607082022', '02102021']
['S04729122021', 'L05702092022', 'D05706082022', 'K06022052022', 'M05717092022', 'P05708122022', '29122021']
['S04817022022', 'L05825032022', 'D05824012022', 'K06131012022', 'M05804082022', 'P05809092022', '17022022']
['S04909032022', 'L05909072022', 'D05909012022', 'K06230112022', 'M05922012022', 'P05918082022', '09032022']
['S05031032022', 'L06003122022', 'D06024072022', 'K06304072022', 'M06017012022', 'P06020082022', '31032022']
['S05319082022', 'L06116122022', 'D06110012022', 'K06430062022', 'M06122122022', 'P06103062022', '03072022']
['S05413102022', 'L06206012022', 'D06201112022', 'K06503022022', 'M06209122022', 'P06221062022', '05082022']
['S05516102022', 'L06303122022', 'D06313112022', 'K06626012022', 'M06328102022', 'P06310012022', '19082022']
['S05608112022', 'L06416112022', 'D06409092022', 'K06730072022', 'M06412032022', 'P06417032022', '13102022']
['S05720122022', 'L06527112022', 'D06510042022', 'K06828052022', 'M06528012022', 'P06508062022', '16102022']
['S05820092022', 'L06611062022', 'D06607032022', 'K06931072022', 'M06620032022', 'P06628112022', '08112022']
['S05930072022', 'L06720062022', 'D06715122022', 'K07015092022', 'M06723072022', 'P06711022022', '20122022']
['S00107012018', 'L01203022019', 'D01303022019', 'K02429012020', 'M02529012020', 'P03615092020', '07012018']
['S00225012018', 'L01319052019', 'D01522052019', 'K02520022020', 'M02620022020', 'P03706062020', '25012018']
['S00326022018', 'L01422052019', 'D01630052019', 'K02609042020', 'M02709042020', 'P03828092020', '26022018']
['S00405032018', 'L01616062019', 'D01716062019', 'K02807072020', 'M02810042020', 'P03920012020', '05032018']
['S00529042018', 'L01703072019', 'D01803072019', 'K02925092020', 'M03025092020', 'P04003082020', '29042018']
['S00713092018', 'L01824072019', 'D02026072019', 'K03004102020', 'M03104102020', 'P04101112020', '29082018']
['S00819102018', 'L01926072019', 'D02102082019', 'K03104122020', 'M03204122020', 'P04219062020', '13092018']
['S00926102018', 'L02116122019', 'D02216122019', 'K03205122020', 'M03305122020', 'P04316012020', '19102018']
['S01017122018', 'L02201122019', 'D02309112019', 'K03307122020', 'M03407122020', 'P04424012020', '26102018']
['S01127082018', 'L02311062019', 'D02409092019', 'K03427112020', 'M03526122020', 'P04523062020', '17122018']
['S01203022019', 'L02429012020', 'D02620022020', 'K03514012021', 'M03614012021', 'P04614012021', '03022019']
['S01319052019', 'L02520022020', 'D02709042020', 'K03617012021', 'M03717012021', 'P04717012021', '19052019']
['S01422052019', 'L02609042020', 'D02810042020', 'K03814032021', 'M03815022021', 'P04815022021', '22052019']
['S01530052019', 'L02710042020', 'D02907072020', 'K03912042021', 'M04012042021', 'P04914032021', '30052019']
['S01703072019', 'L02925092020', 'D03025092020', 'K04107052021', 'M04105052021', 'P05012042021', '16062019']
['S01824072019', 'L03004102020', 'D03104102020', 'K04210052021', 'M04207052021', 'P05207052021', '03072019']
['S01926072019', 'L03104122020', 'D03204122020', 'K04314062021', 'M04310052021', 'P05310052021', '24072019']
['S02002082019', 'L03307122020', 'D03305122020', 'K04405122021', 'M04414062021', 'P05414062021', '26072019']
['S02116122019', 'L03418072020', 'D03519122020', 'K04524102021', 'M04505122021', 'P05505122021', '02082019']
['S02218112019', 'L03524062020', 'D03602112020', 'K04616122021', 'M04601122021', 'P04628092021', '16122019']
['S02420022020', 'L03614012021', 'D03714012021', 'K04705042021', 'M04701022021', 'P04720102021', '29012020']
['S02509042020', 'L03717012021', 'D03817012021', 'K04819072021', 'M04811112021', 'P04807072021', '20022020']
['S02610042020', 'L03815022021', 'D03915022021', 'K04920112021', 'M04908092021', 'P04921022021', '09042020']
['S02707072020', 'L03914032021', 'D04112042021', 'K05018112021', 'M05028072021', 'P05021082021', '10042020']
['S02825092020', 'L04012042021', 'D04205052021', 'K05129052021', 'M05118122021', 'P05105012021', '07072020']
['S02904102020', 'L04207052021', 'D04307052021', 'K05216112021', 'M05217012021', 'P05225072021', '25092020']
['S03004122020', 'L04310052021', 'D04410052021', 'K05326052021', 'M05325062021', 'P05325122021', '04102020']
['S03105122020', 'L04414062021', 'D04514062021', 'K05420122021', 'M05426102021', 'P05427012021', '04122020']
['S03319122020', 'L04505122021', 'D04605122021', 'K05518032021', 'M05511062021', 'P05501082021', '05122020']
['S03415112020', 'L04625112021', 'D04707122021', 'K05622012021', 'M05622012021', 'P05613122021', '07122020']
['S03514012021', 'L04715022022', 'D04815022022', 'K05715022022', 'M05715022022', 'P05715022022', '14012021']
['S03617012021', 'L04912032022', 'D04925022022', 'K05825022022', 'M05825022022', 'P05825022022', '17012021']
['S03715022021', 'L05029042022', 'D05012032022', 'K05912032022', 'M05912032022', 'P05912032022', '15022021']
['S03814032021', 'L05102052022', 'D05129042022', 'K06029042022', 'M06102052022', 'P06029042022', '14032021']
['S03912042021', 'L05215072022', 'D05202052022', 'K06102052022', 'M06215072022', 'P06102052022', '12042021']
['S04107052021', 'L05320082022', 'D05315072022', 'K06409092022', 'M06409092022', 'P06215072022', '05052021']
['S04210052021', 'L05409092022', 'D05420082022', 'K06515092022', 'M06515092022', 'P06409092022', '07052021']
['S04314062021', 'L05606102022', 'D05706102022', 'K06606102022', 'M06606102022', 'P06515092022', '10052021']
['S04405122021', 'L05713112022', 'D05829042022', 'K05713112022', 'M05730102022', 'P06606102022', '14062021']
['S04513102021', 'L05826042022', 'D05922092022', 'K05804082022', 'M05801082022', 'P05702112022', '05122021']
['S04725022022', 'L05906092022', 'D06005072022', 'K05901102022', 'M05905052022', 'P05809072022', '15022022']
['S04812032022', 'L06002082022', 'D06127072022', 'K06008052022', 'M06012072022', 'P05912012022', '25022022']
['S05002052022', 'L06104122022', 'D06224062022', 'K06124022022', 'M06107122022', 'P06027022022', '12032022']
['S05115072022', 'L06204082022', 'D06314032022', 'K06215092022', 'M06224052022', 'P06103012022', '29042022']
['S05220082022', 'L06301082022', 'D06426052022', 'K06315112022', 'M06304062022', 'P06212052022', '02052022']
['S05309092022', 'L06414042022', 'D06529112022', 'K06409092022', 'M06428042022', 'P06308052022', '15072022']
['S05415092022', 'L06508072022', 'D06613042022', 'K06526092022', 'M06513122022', 'P06427042022', '20082022']
['S05506102022', 'L06624092022', 'D06714072022', 'K06630012022', 'M06601052022', 'P06512012022', '09092022']
['S05629112022', 'L06713122022', 'D06814122022', 'K06717062022', 'M06714092022', 'P06604092022', '15092022']
['S05731102022', 'L06825072022', 'D06930052022', 'K06817042022', 'M06820122022', 'P06703052022', '06102022']
['S00128012018', 'L01310012019', 'D01310012019', 'K02430032020', 'M02430032020', 'P03515102020', '28012018']
['S00223032018', 'L01509032019', 'D01413022019', 'K02506042020', 'M02506042020', 'P03616062020', '23032018']
['S00325042018', 'L01708042019', 'D01509032019', 'K02725052020', 'M02616052020', 'P03718062020', '25042018']
['S00418072018', 'L01804062019', 'D01610032019', 'K02820072020', 'M02725052020', 'P03810042020', '18072018']
['S00620092018', 'L01901072019', 'D01708042019', 'K02913082020', 'M02913082020', 'P03903012020', '19072018']
['S00724092018', 'L02007072019', 'D01901072019', 'K03027082020', 'M03027082020', 'P04015052020', '20092018']
['S00815112018', 'L02120072019', 'D02007072019', 'K03115102020', 'M03115102020', 'P04122012020', '24092018']
['S00923112018', 'L02220122019', 'D02120072019', 'K03226112020', 'M03226112020', 'P04203012020', '15112018']
['S01120122018', 'L02308122019', 'D02220122019', 'K03301122020', 'M03301122020', 'P04306042020', '23112018']
['S01222032018', 'L02431102019', 'D02311112019', 'K03422092020', 'M03423082020', 'P04415102020', '03122018']
['S01310012019', 'L02530032020', 'D02430032020', 'K03512012021', 'M03512012021', 'P04607032021', '10012019']
['S01509032019', 'L02606042020', 'D02506042020', 'K03607032021', 'M03607032021', 'P04709052021', '13022019']
['S01610032019', 'L02716052020', 'D02616052020', 'K03709052021', 'M03709052021', 'P04914062021', '09032019']
['S01708042019', 'L02825052020', 'D02725052020', 'K03914062021', 'M03814062021', 'P05008082021', '10032019']
['S01804062019', 'L02920072020', 'D02820072020', 'K04008082021', 'M03914062021', 'P05129092021', '08042019']
['S01901072019', 'L03013082020', 'D02913082020', 'K04129092021', 'M04202112021', 'P05202112021', '04062019']
['S02007072019', 'L03215102020', 'D03115102020', 'K04202112021', 'M04321112021', 'P05321112021', '01072019']
['S02120072019', 'L03326112020', 'D03226112020', 'K04321112021', 'M04402122021', 'P05402122021', '07072019']
['S02220122019', 'L03526052020', 'D03301122020', 'K04507092021', 'M04512062021', 'P04525122021', '20072019']
['S02321122019', 'L03609082020', 'D03405082020', 'K04609092021', 'M04618072021', 'P04625082021', '20122019']
['S02430032020', 'L03712012021', 'D03512012021', 'K04710062021', 'M04718122021', 'P04701102021', '30032020']
['S02506042020', 'L03807032021', 'D03607032021', 'K04818052021', 'M04815042021', 'P04812102021', '06042020']
['S02725052020', 'L03909052021', 'D03709052021', 'K04914112021', 'M04917062021', 'P04930042021', '16052020']
['S02820072020', 'L04114062021', 'D03814062021', 'K05004022021', 'M05003032021', 'P05006012021', '25052020']
['S02913082020', 'L04208082021', 'D03914062021', 'K05129042021', 'M05125032021', 'P05103042021', '20072020']
['S03027082020', 'L04329092021', 'D04129092021', 'K05214062021', 'M05214072021', 'P05211052021', '13082020']
['S03115102020', 'L04402112021', 'D04202112021', 'K05305012021', 'M05322092021', 'P05304022021', '27082020']
['S03226112020', 'L04521112021', 'D04321112021', 'K05415032021', 'M05421062021', 'P05428122021', '15102020']
['S03301122020', 'L04602122021', 'D04402122021', 'K05511092021', 'M05529102021', 'P05508022021', '26112020']
['S03415092020', 'L04718072021', 'D04518062021', 'K05614022021', 'M05617012021', 'P05611122021', '01122020']
['S03512012021', 'L04820012022', 'D04620012022', 'K05720012022', 'M05720012022', 'P05720012022', '12012021']
['S03607032021', 'L05007052022', 'D04716022022', 'K05907052022', 'M05816022022', 'P05816022022', '07032021']
['S03709052021', 'L05120052022', 'D04920052022', 'K06020052022', 'M05907052022', 'P05907052022', '09052021']
['S03814062021', 'L05226052022', 'D05026052022', 'K06126052022', 'M06020052022', 'P06208082022', '14062021']
['S03914062021', 'L05421092022', 'D05108082022', 'K06208082022', 'M06208082022', 'P06321092022', '14062021']
['S04008082021', 'L05513102022', 'D05221092022', 'K06321092022', 'M06321092022', 'P06413102022', '08082021']
['S04129092021', 'L05616122022', 'D05313102022', 'K06413102022', 'M06516122022', 'P06516122022', '29092021']
['S04321112021', 'L05717122022', 'D05416122022', 'K06516122022', 'M06617122022', 'P06617122022', '02112021']
['S04528062021', 'L05806072022', 'D05517122022', 'K06617122022', 'M05725122022', 'P05704092022', '21112021']
['S04606112021', 'L05916112022', 'D05620102022', 'K05715122022', 'M05825112022', 'P05827112022', '02122021']
['S04720012022', 'L06008012022', 'D05728092022', 'K05811102022', 'M05927092022', 'P05906022022', '20012022']
['S04816022022', 'L06109072022', 'D05827022022', 'K05919122022', 'M06020122022', 'P06027072022', '16022022']
['S04907052022', 'L06215122022', 'D05914012022', 'K06013112022', 'M06113092022', 'P06105102022', '07052022']
['S05020052022', 'L06322032022', 'D06002052022', 'K06111122022', 'M06218072022', 'P06229062022', '20052022']
['S05208082022', 'L06407052022', 'D06123112022', 'K06204072022', 'M06319122022', 'P06319032022', '26052022']
['S05321092022', 'L06509102022', 'D06203022022', 'K06313022022', 'M06424042022', 'P06430112022', '08082022']
['S05413102022', 'L06609032022', 'D06330032022', 'K06404102022', 'M06515042022', 'P06526062022', '21092022']
['S05516122022', 'L06707052022', 'D06420112022', 'K06519082022', 'M06615092022', 'P06621012022', '13102022']
['S05617122022', 'L06829112022', 'D06514082022', 'K06616102022', 'M06712092022', 'P06728052022', '16122022']
['S05720122022', 'L06931032022', 'D06623032022', 'K06722122022', 'M06826052022', 'P06814092022', '17122022']
['S00125012018', 'L01314012019', 'D01214012019', 'K02415012020', 'M02315012020', 'P03627092020', '25012018']
['S00207022018', 'L01406022019', 'D01425022019', 'K02502032020', 'M02402032020', 'P03728042020', '07022018']
['S00407042018', 'L01625042019', 'D01525042019', 'K02707052020', 'M02503042020', 'P03804022020', '28032018']
['S00522042018', 'L01722052019', 'D01709062019', 'K02816072020', 'M02607052020', 'P03930112020', '07042018']
['S00623042018', 'L01809062019', 'D01813072019', 'K02920072020', 'M02716072020', 'P04007112020', '22042018']
['S00725052018', 'L01913072019', 'D01909092019', 'K03010112020', 'M02820072020', 'P04119022020', '23042018']
['S00905102018', 'L02009092019', 'D02014102019', 'K03125112020', 'M02910112020', 'P04221062020', '25052018']
['S01026102018', 'L02114102019', 'D02128102019', 'K03202122020', 'M03025112020', 'P04315042020', '19072018']
['S01116102018', 'L02228102019', 'D02218122019', 'K03316122020', 'M03102122020', 'P04404042020', '05102018']
['S01218122018', 'L02321112019', 'D02327122019', 'K03409102020', 'M03331072020', 'P04526042020', '26102018']
['S01314012019', 'L02415012020', 'D02415012020', 'K03501012021', 'M03401012021', 'P04601012021', '14012019']
['S01406022019', 'L02502032020', 'D02502032020', 'K03625022021', 'M03525022021', 'P04805042021', '06022019']
['S01525022019', 'L02707052020', 'D02603042020', 'K03705042021', 'M03605042021', 'P04901052021', '25022019']
['S01625042019', 'L02816072020', 'D02707052020', 'K03917052021', 'M03701052021', 'P05017052021', '25042019']
['S01722052019', 'L02920072020', 'D02816072020', 'K04003092021', 'M03817052021', 'P05103092021', '22052019']
['S01913072019', 'L03125112020', 'D03125112020', 'K04121092021', 'M03903092021', 'P05221092021', '09062019']
['S02009092019', 'L03202122020', 'D03202122020', 'K04214102021', 'M04021092021', 'P05314102021', '13072019']
['S02114102019', 'L03316122020', 'D03316122020', 'K04328112021', 'M04228112021', 'P05428112021', '09092019']
['S02228102019', 'L03402102020', 'D03419032020', 'K04418122021', 'M04318122021', 'P05518122021', '14102019']
['S02306122019', 'L03520062020', 'D03515062020', 'K04525112021', 'M04418072021', 'P04618122021', '28102019']
['S02415012020', 'L03601012021', 'D03725022021', 'K04621122021', 'M04515012021', 'P04710042021', '15012020']
['S02502032020', 'L03725022021', 'D03805042021', 'K04711032021', 'M04610012021', 'P04818112021', '02032020']
['S02603042020', 'L03805042021', 'D03901052021', 'K04812032021', 'M04707072021', 'P04924042021', '03042020']
['S02920072020', 'L03901052021', 'D04017052021', 'K04911112021', 'M04810092021', 'P05027102021', '07052020']
['S03010112020', 'L04017052021', 'D04103092021', 'K05017092021', 'M04913092021', 'P05112032021', '16072020']
['S03125112020', 'L04103092021', 'D04314102021', 'K05125102021', 'M05029032021', 'P05208032021', '20072020']
['S03202122020', 'L04221092021', 'D04428112021', 'K05213062021', 'M05125012021', 'P05306112021', '10112020']
['S03316122020', 'L04428112021', 'D04518122021', 'K05304012021', 'M05212022021', 'P05403092021', '25112020']
['S03402072020', 'L04518122021', 'D04616062021', 'K05404082021', 'M05330082021', 'P05506072021', '02122020']
['S03522122020', 'L04602042021', 'D04729122021', 'K05504042021', 'M05402122021', 'P05612112021', '16122020']
['S03601012021', 'L04718012022', 'D04818012022', 'K05618012022', 'M05518012022', 'P05822012022', '01012021']
['S03725022021', 'L04822012022', 'D04922012022', 'K05722012022', 'M05622012022', 'P05917022022', '25022021']
['S03805042021', 'L04917022022', 'D05017022022', 'K05906032022', 'M05717022022', 'P06006032022', '05042021']
['S03901052021', 'L05006032022', 'D05106032022', 'K06016032022', 'M05806032022', 'P06116032022', '01052021']
['S04103092021', 'L05116032022', 'D05216032022', 'K06124032022', 'M05916032022', 'P06224032022', '17052021']
['S04221092021', 'L05224032022', 'D05421072022', 'K06221072022', 'M06121072022', 'P06321072022', '03092021']
['S04314102021', 'L05321072022', 'D05518082022', 'K06318082022', 'M06218082022', 'P06418082022', '21092021']
['S04518122021', 'L05512092022', 'D05612092022', 'K06412092022', 'M06312092022', 'P06512092022', '14102021']
['S04620082021', 'L05730032022', 'D05709112022', 'K06509112022', 'M06409112022', 'P06609112022', '28112021']
['S04723122021', 'L05828082022', 'D05819102022', 'K05628122022', 'M05527112022', 'P05728122022', '18122021']
['S04818012022', 'L05901012022', 'D05914112022', 'K05703062022', 'M05622012022', 'P05811052022', '18012022']
['S04922012022', 'L06015072022', 'D06002122022', 'K05824012022', 'M05701072022', 'P05925052022', '22012022']
['S05017022022', 'L06114102022', 'D06119102022', 'K05905082022', 'M05822112022', 'P06007012022', '17022022']
['S05106032022', 'L06213012022', 'D06211052022', 'K06019072022', 'M05911122022', 'P06115042022', '06032022']
['S05216032022', 'L06321052022', 'D06327102022', 'K06104072022', 'M06016012022', 'P06201062022', '16032022']
['S05324032022', 'L06404052022', 'D06413092022', 'K06210042022', 'M06127122022', 'P06324052022', '24032022']
['S05421072022', 'L06517042022', 'D06503092022', 'K06331032022', 'M06214022022', 'P06424072022', '21072022']
['S05612092022', 'L06613112022', 'D06620022022', 'K06412022022', 'M06304102022', 'P06525022022', '18082022']
['S05709112022', 'L06704042022', 'D06721052022', 'K06519112022', 'M06422122022', 'P06602012022', '12092022']
['S05829112022', 'L06821112022', 'D06809072022', 'K06625122022', 'M06521012022', 'P06707112022', '09112022']
['S00118012018', 'L01313032019', 'D01313012019', 'K02420012020', 'M02320012020', 'P03524102020', '18012018']
['S00231052018', 'L01429032019', 'D01413032019', 'K02507052020', 'M02407052020', 'P03617052020', '31052018']
['S00302072018', 'L01514042019', 'D01529032019', 'K02709072020', 'M02508062020', 'P03701042020', '02072018']
['S00430072018', 'L01607052019', 'D01614042019', 'K02815072020', 'M02715072020', 'P03820012020', '30072018']
['S00513082018', 'L01827052019', 'D01707052019', 'K02914082020', 'M02814082020', 'P03905062020', '13082018']
['S00618082018', 'L01908072019', 'D01826052019', 'K03017082020', 'M02917082020', 'P04008062020', '18082018']
['S00727082018', 'L02026092019', 'D02008072019', 'K03106102020', 'M03006102020', 'P04101042020', '27082018']
['S00815092018', 'L02130122019', 'D02126092019', 'K03319122020', 'M03129102020', 'P04202102020', '15092018']
['S01003112018', 'L02229122019', 'D02230122019', 'K03429102020', 'M03219122020', 'P04315052020', '27092018']
['S01130042018', 'L02320092019', 'D02316082019', 'K03530072020', 'M03303082020', 'P04422072020', '03112018']
['S01213012019', 'L02420012020', 'D02420012020', 'K03607012021', 'M03407012021', 'P04507012021', '13012019']
['S01313032019', 'L02608062020', 'D02507052020', 'K03721012021', 'M03521012021', 'P04621012021', '13032019']
['S01429032019', 'L02709072020', 'D02608062020', 'K03803042021', 'M03603042021', 'P04923052021', '29032019']
['S01514042019', 'L02815072020', 'D02709072020', 'K04023052021', 'M03718042021', 'P05007062021', '14042019']
['S01607052019', 'L02914082020', 'D02815072020', 'K04107062021', 'M03823052021', 'P05111072021', '07052019']
['S01726052019', 'L03017082020', 'D03106102020', 'K04211072021', 'M03907062021', 'P05213082021', '26052019']
['S01827052019', 'L03106102020', 'D03229102020', 'K04313082021', 'M04011072021', 'P05305102021', '27052019']
['S01908072019', 'L03229102020', 'D03319122020', 'K04405102021', 'M04113082021', 'P05426102021', '08072019']
['S02026092019', 'L03319122020', 'D03414052020', 'K04526102021', 'M04326102021', 'P04514102021', '26092019']
['S02213112019', 'L03402122020', 'D03507122020', 'K04607122021', 'M04421072021', 'P04621092021', '30122019']
['S02320012020', 'L03507012021', 'D03607012021', 'K04709122021', 'M04516022021', 'P04729022021', '20012020']
['S02407052020', 'L03621012021', 'D03721012021', 'K04801042021', 'M04623102021', 'P04820082021', '07052020']
['S02508062020', 'L03923052021', 'D03803042021', 'K04921102021', 'M04727062021', 'P04912032021', '08062020']
['S02715072020', 'L04007062021', 'D03918042021', 'K05019032021', 'M04809012021', 'P05009032021', '09072020']
['S02814082020', 'L04111072021', 'D04023052021', 'K05103112021', 'M04915032021', 'P05127072021', '15072020']
['S02917082020', 'L04213082021', 'D04313082021', 'K05215022021', 'M05015102021', 'P05204102021', '14082020']
['S03006102020', 'L04305102021', 'D04405102021', 'K05321022021', 'M05118042021', 'P05314122021', '17082020']
['S03219122020', 'L04426102021', 'D04526102021', 'K05427062021', 'M05211122021', 'P05404082021', '06102020']
['S03303112020', 'L04518122021', 'D04603092021', 'K05515052021', 'M05330102021', 'P05520052021', '29102020']
['S03424062020', 'L04608102021', 'D04727062021', 'K05612092021', 'M05428072021', 'P05605062021', '19122020']
['S03507012021', 'L04712022022', 'D04812022022', 'K05712022022', 'M05512022022', 'P05712022022', '07012021']
['S03621012021', 'L04817032022', 'D04917032022', 'K05817032022', 'M05617032022', 'P05817032022', '21012021']
['S03703042021', 'L04905052022', 'D05005052022', 'K05905052022', 'M05705052022', 'P05905052022', '03042021']
['S03818042021', 'L05024052022', 'D05124052022', 'K06024052022', 'M05824052022', 'P06024052022', '18042021']
['S03923052021', 'L05129072022', 'D05313082022', 'K06213082022', 'M05929072022', 'P06129072022', '23052021']
['S04007062021', 'L05213082022', 'D05509112022', 'K06329102022', 'M06013082022', 'P06409112022', '07062021']
['S04111072021', 'L05409112022', 'D05618112022', 'K06409112022', 'M06129102022', 'P06518112022', '11072021']
['S04213082021', 'L05518112022', 'D05729122022', 'K06518112022', 'M06318112022', 'P06629122022', '13082021']
['S04305102021', 'L05629122022', 'D05816122022', 'K06629122022', 'M06429122022', 'P05726082022', '05102021']
